"Send Test Email","Enviar email de prueba","module","MagePal_GmailSmtpApp"
"Please enter a valid username/password","Por favor ingrese una combinación válida de usuario/contraseña","module","MagePal_GmailSmtpApp"
"Sent... Please check your email","Enviado... Por favor revise su email","module","MagePal_GmailSmtpApp"
"Read Details","Leer detalles","module","Magento_AdminNotification"
"Mark as Read","Marcar como leído","module","Magento_AdminNotification"
"Are you sure?","¿está seguro(a)?","module","Magento_AdminNotification"
"Remove","Remover","module","Magento_AdminNotification"
"Messages Inbox","Mensajes en carpeta de entrada","module","Magento_AdminNotification"
"You have %1 new system messages","Usted tiene %1 mensajes de sistema nuevos","module","Magento_AdminNotification"
"You have %1 new system message","Usted tiene %1 mensaje de sistema nuevo","module","Magento_AdminNotification"
"Incoming Message","Mensaje nuevo","module","Magento_AdminNotification"
"close","Cerrar","module","Magento_AdminNotification"
"Notifications","Notificaciones","module","Magento_AdminNotification"
"The message has been marked as Read.","El mensaje ha sido marcado como leído.","module","Magento_AdminNotification"
"We couldn't mark the notification as Read because of an error.","No hemos podido marcar el mensaje como leído debido a un error.","module","Magento_AdminNotification"
"Please select messages.","Por favor seleccione mensajes.","module","Magento_AdminNotification"
"A total of %1 record(s) have been marked as Read.","Un total de %1 registro(s) ha(n) sido marcados como leídos.","module","Magento_AdminNotification"
"Total of %1 record(s) have been removed.","Un total de %1 registro(s) han sido removidos.","module","Magento_AdminNotification"
"We couldn't remove the messages because of an error.","No hemos podido remover los mensajes debido a un error.","module","Magento_AdminNotification"
"The message has been removed.","El mensaje ha sido removido.","module","Magento_AdminNotification"
"1 Hour","1 hora","module","Magento_AdminNotification"
"2 Hours","2 horas","module","Magento_AdminNotification"
"6 Hours","6 horas","module","Magento_AdminNotification"
"12 Hours","12 horas","module","Magento_AdminNotification"
"24 Hours","24 horas","module","Magento_AdminNotification"
"critical","Crítico","module","Magento_AdminNotification"
"major","Mayor","module","Magento_AdminNotification"
"minor","Menor","module","Magento_AdminNotification"
"notice","Noticia","module","Magento_AdminNotification"
"Wrong message type","Mensaje de tipo equivocado","module","Magento_AdminNotification"
"Wrong notification ID specified.","Se ha especificado un id de notificación equivocado.","module","Magento_AdminNotification"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} no se recomienda en un entorno de producción declarar el url base inseguro / url base seguro. Recomendamos ampliamente cambiar este valor en su <a href=""%1"">configuración</a> de magento.","module","Magento_AdminNotification"
"One or more of the Cache Types are invalidated: %1. ","Uno o más de los tipos de caché han sido invalidados: %1. ","module","Magento_AdminNotification"
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor diríjase a la <a href=""%1"">administración de la caché</a> y refresque los tipos de caché.","module","Magento_AdminNotification"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No hemos podido sincronizar uno o más archivos de medios. Por favor refiérase a la bitácora para ver detalles.","module","Magento_AdminNotification"
"Synchronization of media storages has been completed.","La sincronización de los almacenamientos de medios se ha completado.","module","Magento_AdminNotification"
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Su servidor web ha sido configurado de forma incorrecta y permite el acceso sin autorización de archivos confidenciales. Por favor contacte a su proveedor de hospedaje.","module","Magento_AdminNotification"
"System Messages:","Mensajes de sistema:","module","Magento_AdminNotification"
"Critical System Messages","Mensajes de sistema críticos","module","Magento_AdminNotification"
"Major System Messages","Mensajes de sistema mayores","module","Magento_AdminNotification"
"System messages","Mensajes de sistema","module","Magento_AdminNotification"
"Close","Cerrar","module","Magento_AdminNotification"
"See All (","Ver todos (","module","Magento_AdminNotification"
" unread)"," Sin leer)","module","Magento_AdminNotification"
"Please correct the data sent.","Por favor corrija los datos enviados.","module","Magento_AdvancedPricingImportExport"
"Entity type model '%1' is not found","No se ha encontrado el tipo de entidad '%1'","module","Magento_AdvancedPricingImportExport"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","El tipo de entidad debe ser una instancia de \magento\catalogimportexport\model\export\product\type\abstracttype","module","Magento_AdvancedPricingImportExport"
"There are no product types available for export","No hay tipos de producto disponibles para exportar","module","Magento_AdvancedPricingImportExport"
"We can't find the role for the user you wanted.","No hemos podido encontrar el rol para el usuario que quería.","module","Magento_Authorization"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Algo incorrecto ha ocurrido al compilar una lista de los recursos permitidos. Puede encontrar más en la bitácora de excepciones.","module","Magento_Authorization"
"You created the order.","Ha creado la orden.","module","Magento_Authorizenet"
"Order saving error: %1","Error al guardar la orden: %1","module","Magento_Authorizenet"
"Please choose a payment method.","Por favor elija un método de pago.","module","Magento_Authorizenet"
"We can't process your order right now. Please try again later.","No podemos procesar su orden en este momento. Por favor intente más tarde.","module","Magento_Authorizenet"
"Unable to place order. Please try again later.","No es posible colocar la orden. Por favor intente más tarde.","module","Magento_Authorizenet"
"Credit Card: xxxx-%1","Tarjeta de crédito: xxxx-%1","module","Magento_Authorizenet"
"amount %1","Cantidad %1","module","Magento_Authorizenet"
"failed.","Falló.","module","Magento_Authorizenet"
"successful.","Exitoso.","module","Magento_Authorizenet"
"Authorize.Net Transaction ID %1.","Transacción de authorize.Net Id %1.","module","Magento_Authorizenet"
"authorize","Autorizar","module","Magento_Authorizenet"
"authorize and capture","Autorizar y capturar","module","Magento_Authorizenet"
"capture","Capturar","module","Magento_Authorizenet"
"refund","Reembolso","module","Magento_Authorizenet"
"void","Inválido","module","Magento_Authorizenet"
"Gateway error: %1","Error en la puerta de enlace: %1","module","Magento_Authorizenet"
"Something went wrong in the payment gateway.","Algo incorrecto ocurrió en la puerta de enlace de pagos.","module","Magento_Authorizenet"
"Invalid amount for capture.","Cantidad no válida para captura.","module","Magento_Authorizenet"
"Payment capturing error.","Error de captura de pago.","module","Magento_Authorizenet"
"Invalid transaction ID.","Id de transacción no válido.","module","Magento_Authorizenet"
"Payment voiding error.","Error de invalidación de pago.","module","Magento_Authorizenet"
"Invalid amount for refund.","Cantidad no válida para reembolso.","module","Magento_Authorizenet"
"Payment refunding error.","Error de pago de reembolso.","module","Magento_Authorizenet"
"The transaction was declined because the response hash validation failed.","La transacción ha sido declinada porque la validación del código de respuesta ha fallado.","module","Magento_Authorizenet"
"This payment didn't work out because we can't find this order.","Este pago ha fallado porque no podemos encontrar esta orden.","module","Magento_Authorizenet"
"There was a payment authorization error.","Ha ocurrido un error en la autorización del pago.","module","Magento_Authorizenet"
"Please enter a transaction ID to authorize this payment.","Por favor ingrese un id de transacción para autorizar este pago.","module","Magento_Authorizenet"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Algo salió mal: la cantidad del pago no coincide con la cantidad de la orden. Por favor corrija e intente de nuevo.","module","Magento_Authorizenet"
